fort_name,name,latitude,longitude,description
Rajgad,Zunjar Machi,18.2410,73.6800,A difficult machi offering a view of Torna.
Rajgad,Suvela Machi,18.2430,73.6880,Eastern part of the fort.
Rajgad,Sanjeevani Machi,18.2490,73.6700,Western part of the fort.
Rajgad,Padmavati Machi,18.2480,73.6840,The main plateau of the fort.
Torna,Zunjar Machi,18.2750,73.6150,Western part of the fort.
Torna,Budhla Machi,18.2720,73.6300,Eastern part of the fort.
Sinhagad,Pune Darwaja,18.3680,73.7570,Main entrance facing Pune.
Lohagad,Vinchu Kata,18.7050,73.4700,A long and narrow fortified spur resembling a scorpion's tail.
Raigad,Takmak Tok,18.2380,73.4420,Execution point where prisoners were pushed to their death.
Pratapgad,Bhavani Temple,17.9260,73.5780,Temple dedicated to Goddess Bhavani built by Shivaji Maharaj.
